date,city_district,price,increase
2011-09,shenzhen_longgang,11583,0.0057
2011-08,shenzhen_longgang,11517,0.0034
2011-07,shenzhen_longgang,11478,0.0056
2011-05,shenzhen_longgang,11502,0.0041
2011-03,shenzhen_longgang,11477,0.0308
2011-02,shenzhen_longgang,11134,0.0253
2011-01,shenzhen_longgang,10859,0.0379
2011-12,shenzhen_longgang,11372,-0.0103
2011-11,shenzhen_longgang,11490,-0.0049
2011-10,shenzhen_longgang,11547,-0.0031
2011-06,shenzhen_longgang,11414,-0.0077
2011-04,shenzhen_longgang,11455,-0.0019
2011-08,shenzhen_nanshan,23343,0.0124
2011-07,shenzhen_nanshan,23058,0.0015
2011-06,shenzhen_nanshan,23024,0.0057
2011-04,shenzhen_nanshan,23017,0.0109
2011-03,shenzhen_nanshan,22769,0.0351
2011-02,shenzhen_nanshan,21996,0.0502
2011-01,shenzhen_nanshan,20945,0.0755
2011-12,shenzhen_nanshan,21538,-0.0283
2011-11,shenzhen_nanshan,22166,-0.013
2011-10,shenzhen_nanshan,22459,-0.0127
2011-09,shenzhen_nanshan,22747,-0.0255
2011-05,shenzhen_nanshan,22894,-0.0053
2011-07,shenzhen_baoan,15117,0.0005
2011-06,shenzhen_baoan,15110,0.0156
2011-05,shenzhen_baoan,14878,0.0018
2011-04,shenzhen_baoan,14852,0.0208
2011-03,shenzhen_baoan,14550,0.0528
2011-02,shenzhen_baoan,13820,0.0478
2011-01,shenzhen_baoan,13190,0.0617
2011-12,shenzhen_baoan,14217,-0.0148
2011-11,shenzhen_baoan,14431,-0.0112
2011-10,shenzhen_baoan,14595,-0.012
2011-09,shenzhen_baoan,14772,-0.0153
2011-08,shenzhen_baoan,15002,-0.0076
2011-08,shenzhen_futian,24869,0.0159
2011-07,shenzhen_futian,24479,0.0108
2011-06,shenzhen_futian,24218,0.0011
2011-05,shenzhen_futian,24191,0.0025
2011-04,shenzhen_futian,24130,0.02
2011-03,shenzhen_futian,23657,0.0429
2011-02,shenzhen_futian,22684,0.036
2011-01,shenzhen_futian,21895,0.0337
2011-12,shenzhen_futian,23544,-0.025
2011-11,shenzhen_futian,24147,-0.0169
2011-10,shenzhen_futian,24561,-0.0092
2011-09,shenzhen_futian,24789,-0.0032
2011-03,shenzhen_longhuaq,,
2011-02,shenzhen_longhuaq,,
2011-01,shenzhen_longhuaq,,
2011-10,shenzhen_luohu,18095,0.0004
2011-09,shenzhen_luohu,18087,0.0003
2011-08,shenzhen_luohu,18081,0.0029
2011-07,shenzhen_luohu,18028,0.0027
2011-06,shenzhen_luohu,17980,0.0169
2011-04,shenzhen_luohu,17925,0.0067
2011-03,shenzhen_luohu,17805,0.0282
2011-02,shenzhen_luohu,17316,0.0198
2011-01,shenzhen_luohu,16979,0.0389
2011-12,shenzhen_luohu,17574,-0.0224
2011-11,shenzhen_luohu,17977,-0.0065
2011-05,shenzhen_luohu,17682,-0.0136
2011-10,shenzhen_yantian,17558,0.0108
2011-07,shenzhen_yantian,17811,0.0148
2011-02,shenzhen_yantian,18533,0.1376
2011-01,shenzhen_yantian,16292,0.0277
2011-12,shenzhen_yantian,17398,-0.003
2011-11,shenzhen_yantian,17450,-0.0062
2011-09,shenzhen_yantian,17370,-0.0214
2011-08,shenzhen_yantian,17750,-0.0034
2011-06,shenzhen_yantian,17552,-0.009
2011-05,shenzhen_yantian,17711,-0.002
2011-04,shenzhen_yantian,17747,-0.0113
2011-03,shenzhen_yantian,17950,-0.0315
2011-03,shenzhen_guangmingx,,
2011-02,shenzhen_guangmingx,,
2011-01,shenzhen_guangmingx,,
2011-06,shenzhen_whole_city,19085,0.0024
2011-04,shenzhen_whole_city,19070,0.0076
2011-03,shenzhen_whole_city,18926,0.0385
2011-02,shenzhen_whole_city,18225,0.0434
2011-01,shenzhen_whole_city,17467,0.0494
2011-12,shenzhen_whole_city,17428,-0.0327
2011-11,shenzhen_whole_city,18018,-0.0175
2011-10,shenzhen_whole_city,18338,-0.0148
2011-09,shenzhen_whole_city,18613,-0.0088
2011-08,shenzhen_whole_city,18778,-0.0086
2011-07,shenzhen_whole_city,18941,-0.0075
2011-05,shenzhen_whole_city,19040,-0.0016
2011-10,guangzhou_tianhe,18646,0.0004
2011-09,guangzhou_tianhe,18639,0.0003
2011-08,guangzhou_tianhe,18634,0.0026
2011-07,guangzhou_tianhe,18586,0.006
2011-06,guangzhou_tianhe,18476,0.0159
2011-05,guangzhou_tianhe,18187,0.0132
2011-04,guangzhou_tianhe,17950,0.0077
2011-03,guangzhou_tianhe,17812,0.0364
2011-02,guangzhou_tianhe,17187,0.0434
2011-01,guangzhou_tianhe,16472,0.0421
2011-12,guangzhou_tianhe,18445,-0.0037
2011-11,guangzhou_tianhe,18513,-0.0071
2011-07,guangzhou_fanyu,11603,0.0118
2011-06,guangzhou_fanyu,11468,0.0076
2011-05,guangzhou_fanyu,11382,0.0153
2011-04,guangzhou_fanyu,11210,0.0209
2011-03,guangzhou_fanyu,10981,0.0409
2011-02,guangzhou_fanyu,10550,0.0259
2011-01,guangzhou_fanyu,10284,0.0325
2011-12,guangzhou_fanyu,11412,-0.0082
2011-11,guangzhou_fanyu,11506,-0.0059
2011-10,guangzhou_fanyu,11574,-0.0003
2011-09,guangzhou_fanyu,11578,-0.0022
2011-08,guangzhou_fanyu,11603,
2011-12,guangzhou_baiyun,13110,0.0012
2011-09,guangzhou_baiyun,13144,0.0035
2011-08,guangzhou_baiyun,13098,0.0031
2011-07,guangzhou_baiyun,13058,0.0057
2011-06,guangzhou_baiyun,12984,0.0039
2011-05,guangzhou_baiyun,12934,0.0225
2011-04,guangzhou_baiyun,12649,0.0064
2011-03,guangzhou_baiyun,12568,0.0451
2011-02,guangzhou_baiyun,12026,0.063
2011-01,guangzhou_baiyun,11313,0.057
2011-11,guangzhou_baiyun,13094,-0.0007
2011-10,guangzhou_baiyun,13103,-0.0031
2011-11,guangzhou_haizhu,18266,0.0038
2011-10,guangzhou_haizhu,18196,0.0042
2011-09,guangzhou_haizhu,18119,0.0045
2011-08,guangzhou_haizhu,18038,0.0108
2011-07,guangzhou_haizhu,17845,0.0132
2011-06,guangzhou_haizhu,17612,0.0247
2011-04,guangzhou_haizhu,17264,0.0234
2011-03,guangzhou_haizhu,16869,0.0317
2011-02,guangzhou_haizhu,16351,0.0356
2011-01,guangzhou_haizhu,15789,0.0299
2011-12,guangzhou_haizhu,18163,-0.0056
2011-05,guangzhou_haizhu,17188,-0.0044
2011-11,guangzhou_yuexiu,21229,0.0301
2011-10,guangzhou_yuexiu,20608,0.0103
2011-09,guangzhou_yuexiu,20398,0.0153
2011-08,guangzhou_yuexiu,20090,0.0062
2011-07,guangzhou_yuexiu,19966,0.0017
2011-06,guangzhou_yuexiu,19932,0.0101
2011-04,guangzhou_yuexiu,19874,0.0197
2011-03,guangzhou_yuexiu,19491,0.024
2011-02,guangzhou_yuexiu,19034,0.0583
2011-01,guangzhou_yuexiu,17985,0.1187
2011-12,guangzhou_yuexiu,21114,-0.0054
2011-05,guangzhou_yuexiu,19733,-0.0071
2011-08,guangzhou_huadu,6870,0.0208
2011-06,guangzhou_huadu,6768,0.0053
2011-02,guangzhou_huadu,6922,0.0442
2011-01,guangzhou_huadu,6629,0.0097
2011-12,guangzhou_huadu,6645,-0.0232
2011-11,guangzhou_huadu,6803,-0.0018
2011-10,guangzhou_huadu,6815,-0.0048
2011-09,guangzhou_huadu,6848,-0.0032
2011-07,guangzhou_huadu,6730,-0.0056
2011-05,guangzhou_huadu,6732,-0.0078
2011-04,guangzhou_huadu,6785,-0.0069
2011-03,guangzhou_huadu,6832,-0.013
2011-12,guangzhou_huangpua,11980,0.0467
2011-11,guangzhou_huangpua,11446,0.0198
2011-10,guangzhou_huangpua,11224,0.0176
2011-09,guangzhou_huangpua,11030,0.0015
2011-08,guangzhou_huangpua,11014,0.0034
2011-07,guangzhou_huangpua,10977,0.0119
2011-06,guangzhou_huangpua,10848,0.0466
2011-04,guangzhou_huangpua,10447,0.0496
2011-03,guangzhou_huangpua,9953,0.058
2011-02,guangzhou_huangpua,9407,0.0291
2011-01,guangzhou_huangpua,9141,0.0185
2011-05,guangzhou_huangpua,10365,-0.0078
2011-11,guangzhou_liwan,15730,0.0286
2011-10,guangzhou_liwan,15292,0.0214
2011-07,guangzhou_liwan,15521,0.035
2011-06,guangzhou_liwan,14996,0.0316
2011-05,guangzhou_liwan,14536,0.0175
2011-04,guangzhou_liwan,14286,0.0083
2011-03,guangzhou_liwan,14168,0.0583
2011-02,guangzhou_liwan,13388,0.0324
2011-01,guangzhou_liwan,12968,0.0362
2011-12,guangzhou_liwan,15497,-0.0148
2011-09,guangzhou_liwan,14971,-0.0259
2011-08,guangzhou_liwan,15369,-0.0098
2011-06,guangzhou_zengcheng,9129,0.0051
2011-04,guangzhou_zengcheng,9126,0.0103
2011-03,guangzhou_zengcheng,9033,0.0127
2011-02,guangzhou_zengcheng,8920,0.0121
2011-01,guangzhou_zengcheng,8813,0.0498
2011-12,guangzhou_zengcheng,7768,-0.0235
2011-11,guangzhou_zengcheng,7955,-0.0145
2011-10,guangzhou_zengcheng,8072,-0.0181
2011-09,guangzhou_zengcheng,8221,-0.0256
2011-08,guangzhou_zengcheng,8437,-0.0293
2011-07,guangzhou_zengcheng,8692,-0.0479
2011-05,guangzhou_zengcheng,9083,-0.0047
2011-12,guangzhou_nansha,8573,0.0156
2011-11,guangzhou_nansha,8441,0.0175
2011-10,guangzhou_nansha,8296,0.0274
2011-09,guangzhou_nansha,8075,0.0308
2011-07,guangzhou_nansha,8566,0.1645
2011-05,guangzhou_nansha,8004,0.6262
2011-02,guangzhou_nansha,10375,0.0443
2011-01,guangzhou_nansha,9935,0.0619
2011-08,guangzhou_nansha,7834,-0.0855
2011-06,guangzhou_nansha,7356,-0.081
2011-04,guangzhou_nansha,4922,-0.4486
2011-03,guangzhou_nansha,8926,-0.1397
2011-11,guangzhou_conghua,8593,0.0226
2011-10,guangzhou_conghua,8403,0.0647
2011-02,guangzhou_conghua,12025,0.2239
2011-12,guangzhou_conghua,8582,-0.0013
2011-09,guangzhou_conghua,7892,-0.0345
2011-08,guangzhou_conghua,8174,-0.0988
2011-07,guangzhou_conghua,9070,-0.0668
2011-06,guangzhou_conghua,9719,-0.0621
2011-05,guangzhou_conghua,10363,-0.0063
2011-04,guangzhou_conghua,10429,-0.0458
2011-03,guangzhou_conghua,10930,-0.0911
2011-01,guangzhou_conghua,9825,-0.0147
2011-12,guangzhou_whole_city,14762,0.0058
2011-11,guangzhou_whole_city,14677,0.0107
2011-04,guangzhou_whole_city,14998,0.0217
2011-03,guangzhou_whole_city,14680,0.0401
2011-02,guangzhou_whole_city,14114,0.0428
2011-01,guangzhou_whole_city,13535,0.0457
2011-10,guangzhou_whole_city,14521,-0.0018
2011-09,guangzhou_whole_city,14547,-0.0073
2011-08,guangzhou_whole_city,14654,-0.0135
2011-07,guangzhou_whole_city,14855,-0.0056
2011-06,guangzhou_whole_city,14938,-0.0026
2011-05,guangzhou_whole_city,14977,-0.0014
2011-06,hangzhou_jianggan,23961,0.0055
2011-05,hangzhou_jianggan,23830,0.0018
2011-04,hangzhou_jianggan,23788,0.0032
2011-03,hangzhou_jianggan,23712,0.0193
2011-02,hangzhou_jianggan,23264,0.0025
2011-01,hangzhou_jianggan,23206,0.0168
2011-12,hangzhou_jianggan,21474,-0.0356
2011-11,hangzhou_jianggan,22267,-0.0077
2011-10,hangzhou_jianggan,22440,-0.0067
2011-09,hangzhou_jianggan,22592,-0.0199
2011-08,hangzhou_jianggan,23051,-0.0333
2011-07,hangzhou_jianggan,23844,-0.0049
2011-11,hangzhou_yuhang,10349,0.0042
2011-04,hangzhou_yuhang,11302,0.0115
2011-03,hangzhou_yuhang,11174,0.0137
2011-02,hangzhou_yuhang,11023,0.0057
2011-01,hangzhou_yuhang,10961,0.0254
2011-12,hangzhou_yuhang,10189,-0.0155
2011-10,hangzhou_yuhang,10306,-0.0131
2011-09,hangzhou_yuhang,10443,-0.0257
2011-08,hangzhou_yuhang,10719,-0.0078
2011-07,hangzhou_yuhang,10803,-0.0005
2011-06,hangzhou_yuhang,10808,-0.0171
2011-05,hangzhou_yuhang,10996,-0.0271
2011-08,hangzhou_xiaoshan,14880,0.0381
2011-06,hangzhou_xiaoshan,14794,0.0085
2011-04,hangzhou_xiaoshan,14690,0.0112
2011-03,hangzhou_xiaoshan,14528,0.0041
2011-02,hangzhou_xiaoshan,14469,0.0241
2011-01,hangzhou_xiaoshan,14128,0.0094
2011-12,hangzhou_xiaoshan,12983,-0.0466
2011-11,hangzhou_xiaoshan,13618,-0.0454
2011-10,hangzhou_xiaoshan,14266,-0.0285
2011-09,hangzhou_xiaoshan,14684,-0.0132
2011-07,hangzhou_xiaoshan,14334,-0.0311
2011-05,hangzhou_xiaoshan,14670,-0.0014
2011-09,hangzhou_xihu,26042,0.0073
2011-07,hangzhou_xihu,25906,0.0046
2011-04,hangzhou_xihu,25880,0.0017
2011-03,hangzhou_xihu,25835,0.0336
2011-02,hangzhou_xihu,24994,0.0205
2011-01,hangzhou_xihu,24491,0.0089
2011-12,hangzhou_xihu,23854,-0.0322
2011-11,hangzhou_xihu,24647,-0.0334
2011-10,hangzhou_xihu,25498,-0.0209
2011-08,hangzhou_xihu,25852,-0.0021
2011-06,hangzhou_xihu,25788,-0.0014
2011-05,hangzhou_xihu,25825,-0.0021
2011-06,hangzhou_binjiangb,18713,0.0187
2011-03,hangzhou_binjiangb,18643,0.0277
2011-02,hangzhou_binjiangb,18140,0.0091
2011-01,hangzhou_binjiangb,17976,0.0188
2011-12,hangzhou_binjiangb,16978,-0.0194
2011-11,hangzhou_binjiangb,17314,-0.0254
2011-10,hangzhou_binjiangb,17765,-0.0185
2011-09,hangzhou_binjiangb,18099,-0.0292
2011-08,hangzhou_binjiangb,18643,-0.0021
2011-07,hangzhou_binjiangb,18682,-0.0017
2011-05,hangzhou_binjiangb,18369,-0.0002
2011-04,hangzhou_binjiangb,18373,-0.0145
2011-07,hangzhou_gongshu,21788,0.0053
2011-06,hangzhou_gongshu,21673,0.0097
2011-04,hangzhou_gongshu,21692,0.0201
2011-03,hangzhou_gongshu,21265,0.03
2011-02,hangzhou_gongshu,20645,0.0067
2011-01,hangzhou_gongshu,20507,0.0253
2011-12,hangzhou_gongshu,19143,-0.0535
2011-11,hangzhou_gongshu,20226,-0.022
2011-10,hangzhou_gongshu,20682,-0.0263
2011-09,hangzhou_gongshu,21240,-0.024
2011-08,hangzhou_gongshu,21763,-0.0011
2011-05,hangzhou_gongshu,21465,-0.0105
2011-07,hangzhou_xiacheng,27321,0.0003
2011-05,hangzhou_xiacheng,27532,0.0038
2011-04,hangzhou_xiacheng,27429,0.0182
2011-03,hangzhou_xiacheng,26940,0.0304
2011-02,hangzhou_xiacheng,26146,0.0168
2011-01,hangzhou_xiacheng,25713,0.0244
2011-12,hangzhou_xiacheng,25291,-0.0264
2011-11,hangzhou_xiacheng,25978,-0.0265
2011-10,hangzhou_xiacheng,26686,-0.0116
2011-09,hangzhou_xiacheng,27000,-0.0014
2011-08,hangzhou_xiacheng,27039,-0.0103
2011-06,hangzhou_xiacheng,27313,-0.008
2011-08,hangzhou_shangcheng,27424,0.0002
2011-07,hangzhou_shangcheng,27419,0.0156
2011-05,hangzhou_shangcheng,27108,0.003
2011-04,hangzhou_shangcheng,27028,0.0243
2011-03,hangzhou_shangcheng,26386,0.0364
2011-02,hangzhou_shangcheng,25459,0.0211
2011-12,hangzhou_shangcheng,25166,-0.0285
2011-11,hangzhou_shangcheng,25905,-0.0274
2011-10,hangzhou_shangcheng,26634,-0.0135
2011-09,hangzhou_shangcheng,26998,-0.0155
2011-06,hangzhou_shangcheng,26999,-0.004
2011-01,hangzhou_shangcheng,24933,-0.0024
2011-10,hangzhou_fuyang,13617,0.1823
2011-09,hangzhou_fuyang,11517,0.008
2011-08,hangzhou_fuyang,11426,0.021
2011-04,hangzhou_fuyang,12400,0.0124
2011-02,hangzhou_fuyang,13341,0.0663
2011-01,hangzhou_fuyang,12511,0.0894
2011-12,hangzhou_fuyang,10698,-0.2007
2011-11,hangzhou_fuyang,13385,-0.017
2011-07,hangzhou_fuyang,11191,-0.0405
2011-06,hangzhou_fuyang,11663,-0.0534
2011-05,hangzhou_fuyang,12321,-0.0064
2011-03,hangzhou_fuyang,12248,-0.0819
2011-12,hangzhou_linanq,6841,0.0046
2011-09,hangzhou_linanq,6939,0.0009
2011-07,hangzhou_linanq,6999,0.0163
2011-06,hangzhou_linanq,6887,0.0107
2011-04,hangzhou_linanq,6819,0.0032
2011-03,hangzhou_linanq,6797,0.0139
2011-02,hangzhou_linanq,6704,0.0287
2011-01,hangzhou_linanq,6517,0.065
2011-11,hangzhou_linanq,6810,-0.0089
2011-10,hangzhou_linanq,6871,-0.0098
2011-08,hangzhou_linanq,6933,-0.0094
2011-05,hangzhou_linanq,6814,-0.0007
2011-12,hangzhou_tonglu,21755,0.0072
2011-09,hangzhou_tonglu,24093,0.2047
2011-10,hangzhou_tonglu,21600,-0.1035
2011-11,hangzhou_tonglu,21600,
2011-08,hangzhou_tonglu,20000,
2011-07,hangzhou_tonglu,20000,
2011-06,hangzhou_tonglu,20000,
2011-05,hangzhou_tonglu,20000,
2011-03,hangzhou_tonglu,,
2011-02,hangzhou_tonglu,,
2011-01,hangzhou_tonglu,,
2011-12,hangzhou_chunan,22465,0.1113
2011-11,hangzhou_chunan,20215,0.55
2011-10,hangzhou_chunan,13042,0.7866
2011-06,hangzhou_chunan,21429,0.0568
2011-02,hangzhou_chunan,50000,0.1111
2011-01,hangzhou_chunan,45185,0.4476
2011-09,hangzhou_chunan,7300,-0.54
2011-08,hangzhou_chunan,15869,-0.2079
2011-07,hangzhou_chunan,20033,-0.0651
2011-05,hangzhou_chunan,20277,-0.1655
2011-04,hangzhou_chunan,24299,-0.4238
2011-03,hangzhou_chunan,42173,-0.1565
2011-08,hangzhou_jiande,7391,
2011-07,hangzhou_jiande,7391,
2011-06,hangzhou_jiande,7391,
2011-05,hangzhou_jiande,7391,
2011-03,hangzhou_jiande,,
2011-02,hangzhou_jiande,,
2011-01,hangzhou_jiande,,
2011-04,hangzhou_whole_city,23082,0.0039
2011-03,hangzhou_whole_city,22992,0.0216
2011-02,hangzhou_whole_city,22506,0.0157
2011-01,hangzhou_whole_city,22159,0.0138
2011-12,hangzhou_whole_city,19721,-0.0395
2011-11,hangzhou_whole_city,20532,-0.0319
2011-10,hangzhou_whole_city,21208,-0.0304
2011-09,hangzhou_whole_city,21872,-0.0237
2011-08,hangzhou_whole_city,22404,-0.0103
2011-07,hangzhou_whole_city,22637,-0.0076
2011-06,hangzhou_whole_city,22810,-0.0067
2011-05,hangzhou_whole_city,22965,-0.0051
2011-08,shanghai_pudong,23541,0.0029
2011-07,shanghai_pudong,23474,0.0041
2011-06,shanghai_pudong,23379,0.0069
2011-05,shanghai_pudong,23218,0.0065
2011-04,shanghai_pudong,23069,0.0027
2011-03,shanghai_pudong,23007,0.0062
2011-02,shanghai_pudong,22865,0.0227
2011-01,shanghai_pudong,22358,0.033
2011-12,shanghai_pudong,22383,-0.0256
2011-11,shanghai_pudong,22970,-0.0192
2011-10,shanghai_pudong,23419,-0.0047
2011-09,shanghai_pudong,23530,-0.0005
2011-08,shanghai_minhang,21054,0.0013
2011-07,shanghai_minhang,21027,0.0044
2011-06,shanghai_minhang,20934,0.0071
2011-05,shanghai_minhang,20787,0.0055
2011-04,shanghai_minhang,20673,0.0028
2011-03,shanghai_minhang,20615,0.0007
2011-02,shanghai_minhang,20601,0.0229
2011-01,shanghai_minhang,20139,0.0302
2011-12,shanghai_minhang,20158,-0.0164
2011-11,shanghai_minhang,20494,-0.0143
2011-10,shanghai_minhang,20791,-0.0057
2011-09,shanghai_minhang,20911,-0.0068
2011-09,shanghai_baoshan,18967,0.0039
2011-08,shanghai_baoshan,18894,0.007
2011-07,shanghai_baoshan,18762,0.0091
2011-06,shanghai_baoshan,18592,0.004
2011-05,shanghai_baoshan,18518,0.0095
2011-04,shanghai_baoshan,18343,0.0087
2011-03,shanghai_baoshan,18184,0.0187
2011-02,shanghai_baoshan,17850,0.0118
2011-01,shanghai_baoshan,17641,0.023
2011-12,shanghai_baoshan,18053,-0.0247
2011-11,shanghai_baoshan,18510,-0.0198
2011-10,shanghai_baoshan,18883,-0.0044
2011-06,shanghai_xuhui,31235,0.0067
2011-05,shanghai_xuhui,31026,0.0115
2011-04,shanghai_xuhui,30673,0.0241
2011-02,shanghai_xuhui,30111,0.0062
2011-01,shanghai_xuhui,29925,0.0149
2011-12,shanghai_xuhui,29915,-0.0073
2011-11,shanghai_xuhui,30136,-0.01
2011-10,shanghai_xuhui,30439,-0.0086
2011-09,shanghai_xuhui,30702,-0.0081
2011-08,shanghai_xuhui,30954,-0.0011
2011-07,shanghai_xuhui,30989,-0.0079
2011-03,shanghai_xuhui,29951,-0.0053
2011-09,shanghai_songjiang,15325,0.0075
2011-07,shanghai_songjiang,15280,0.001
2011-06,shanghai_songjiang,15264,0.0042
2011-05,shanghai_songjiang,15200,0.0037
2011-04,shanghai_songjiang,15144,0.0075
2011-02,shanghai_songjiang,15164,0.0197
2011-01,shanghai_songjiang,14871,0.0207
2011-12,shanghai_songjiang,14747,-0.0195
2011-11,shanghai_songjiang,15040,-0.016
2011-10,shanghai_songjiang,15285,-0.0026
2011-08,shanghai_songjiang,15211,-0.0045
2011-03,shanghai_songjiang,15032,-0.0087
2011-07,shanghai_jiading,16127,0.0032
2011-06,shanghai_jiading,16075,0.0012
2011-03,shanghai_jiading,16781,0.0123
2011-02,shanghai_jiading,16577,0.0474
2011-01,shanghai_jiading,15827,0.008
2011-12,shanghai_jiading,14927,-0.0411
2011-11,shanghai_jiading,15567,-0.0155
2011-10,shanghai_jiading,15812,-0.0031
2011-09,shanghai_jiading,15861,-0.0143
2011-08,shanghai_jiading,16091,-0.0022
2011-05,shanghai_jiading,16056,-0.0123
2011-04,shanghai_jiading,16256,-0.0313
2011-11,shanghai_jingan,38196,0.0035
2011-10,shanghai_jingan,38062,0.0054
2011-09,shanghai_jingan,37856,0.0002
2011-04,shanghai_jingan,39453,0.0117
2011-03,shanghai_jingan,38995,0.0159
2011-02,shanghai_jingan,38385,0.0114
2011-01,shanghai_jingan,37952,0.0491
2011-12,shanghai_jingan,37536,-0.0173
2011-08,shanghai_jingan,37849,-0.0039
2011-07,shanghai_jingan,37998,-0.0122
2011-06,shanghai_jingan,38468,-0.008
2011-05,shanghai_jingan,38777,-0.0171
2011-08,shanghai_putuo,24271,0.0002
2011-07,shanghai_putuo,24265,0.0038
2011-06,shanghai_putuo,24172,0.0138
2011-05,shanghai_putuo,23844,0.0088
2011-04,shanghai_putuo,23637,0.009
2011-03,shanghai_putuo,23426,0.0177
2011-02,shanghai_putuo,23019,0.0121
2011-01,shanghai_putuo,22744,0.0219
2011-12,shanghai_putuo,23259,-0.0247
2011-11,shanghai_putuo,23848,-0.0154
2011-10,shanghai_putuo,24220,-0.0021
2011-09,shanghai_putuo,24270,
2011-10,shanghai_yangpu,25120,0.0044
2011-09,shanghai_yangpu,25011,0.0014
2011-08,shanghai_yangpu,24976,0.0125
2011-07,shanghai_yangpu,24668,0.0031
2011-06,shanghai_yangpu,24592,0.0096
2011-05,shanghai_yangpu,24359,0.0064
2011-04,shanghai_yangpu,24204,0.0058
2011-03,shanghai_yangpu,24064,0.0002
2011-02,shanghai_yangpu,24059,0.0106
2011-01,shanghai_yangpu,23806,0.0295
2011-12,shanghai_yangpu,24447,-0.0157
2011-11,shanghai_yangpu,24836,-0.0113
2011-09,shanghai_hongkou,27031,0.008
2011-08,shanghai_hongkou,26816,0.0006
2011-07,shanghai_hongkou,26801,0.015
2011-06,shanghai_hongkou,26405,0.0085
2011-04,shanghai_hongkou,26223,0.0065
2011-03,shanghai_hongkou,26054,0.0192
2011-02,shanghai_hongkou,25562,0.0161
2011-01,shanghai_hongkou,25156,0.0159
2011-12,shanghai_hongkou,26509,-0.0146
2011-11,shanghai_hongkou,26902,-0.0022
2011-10,shanghai_hongkou,26962,-0.0026
2011-05,shanghai_hongkou,26182,-0.0016
2011-09,shanghai_changning,31238,0.0084
2011-08,shanghai_changning,30977,0.0018
2011-07,shanghai_changning,30921,0.0198
2011-06,shanghai_changning,30321,0.0095
2011-03,shanghai_changning,30622,0.0041
2011-02,shanghai_changning,30496,0.0135
2011-01,shanghai_changning,30090,0.0219
2011-12,shanghai_changning,30301,-0.0094
2011-11,shanghai_changning,30590,-0.0104
2011-10,shanghai_changning,30912,-0.0104
2011-05,shanghai_changning,30037,-0.0065
2011-04,shanghai_changning,30235,-0.0126
2011-11,shanghai_huangpu,33361,0.0056
2011-10,shanghai_huangpu,33175,0.0052
2011-09,shanghai_huangpu,33005,0.0011
2011-08,shanghai_huangpu,32970,0.005
2011-07,shanghai_huangpu,32806,0.0081
2011-03,shanghai_huangpu,33997,0.0007
2011-02,shanghai_huangpu,33973,0.0349
2011-01,shanghai_huangpu,32826,0.0138
2011-12,shanghai_huangpu,32822,-0.0162
2011-06,shanghai_huangpu,32544,-0.0053
2011-05,shanghai_huangpu,32717,-0.0277
2011-04,shanghai_huangpu,33650,-0.0102
2011-02,shanghai_qingpu,22871,0.0147
2011-01,shanghai_qingpu,22539,0.0351
2011-12,shanghai_qingpu,17133,-0.032
2011-11,shanghai_qingpu,17699,-0.0179
2011-10,shanghai_qingpu,18021,-0.0287
2011-09,shanghai_qingpu,18554,-0.0225
2011-08,shanghai_qingpu,18981,-0.0042
2011-07,shanghai_qingpu,19061,-0.0157
2011-06,shanghai_qingpu,19366,-0.0325
2011-05,shanghai_qingpu,20017,-0.0353
2011-04,shanghai_qingpu,20749,-0.0089
2011-03,shanghai_qingpu,20936,-0.0846
2011-12,shanghai_fengxian,13150,0.0118
2011-11,shanghai_fengxian,12997,0.017
2011-10,shanghai_fengxian,12780,0.0054
2011-09,shanghai_fengxian,12711,0.0285
2011-08,shanghai_fengxian,12359,0.0005
2011-07,shanghai_fengxian,12353,0.0088
2011-06,shanghai_fengxian,12245,0.0227
2011-05,shanghai_fengxian,11973,0.0147
2011-04,shanghai_fengxian,11799,0.0222
2011-02,shanghai_fengxian,11550,0.0056
2011-01,shanghai_fengxian,11486,0.0227
2011-03,shanghai_fengxian,11543,-0.0006
2011-09,shanghai_jinshan,9748,0.0065
2011-08,shanghai_jinshan,9685,0.0125
2011-07,shanghai_jinshan,9565,0.0505
2011-06,shanghai_jinshan,9105,0.0042
2011-05,shanghai_jinshan,9067,0.0752
2011-04,shanghai_jinshan,8433,0.0518
