province,city,updateTime,confirmedCount,suspectedCount,curedCount,deadCount
全国,全国,2020-02-27,78631,2358.0,32876,2747
全国,全国,2020-02-26,78195,2491.0,30078,2718
全国,全国,2020-02-25,77785,2824.0,27655,2666
全国,全国,2020-02-24,77269,3434.0,25007,2596
全国,全国,2020-02-23,77048,4148.0,23183,2445
全国,全国,2020-02-22,76396,5365.0,21075,2348
全国,全国,2020-02-21,75571,5206.0,18687,2239
全国,全国,2020-02-20,74680,4922.0,16721,2122
全国,全国,2020-02-19,74284,5248.0,14938,2009
全国,全国,2020-02-18,72532,6242.0,13003,1872
全国,全国,2020-02-17,70644,7264.0,11278,1772
全国,全国,2020-02-16,68595,8228.0,9763,1667
全国,全国,2020-02-15,66581,8969.0,8494,1524
全国,全国,2020-02-14,63950,10109.0,7092,1382
全国,全国,2020-02-13,59907,13435.0,6215,1368
全国,全国,2020-02-12,44765,16067.0,5066,1116
全国,全国,2020-02-11,42747,21675.0,4301,1017
全国,全国,2020-02-10,40262,23589.0,3551,909
全国,全国,2020-02-09,37289,28942.0,2900,813
全国,全国,2020-02-08,34673,27657.0,2375,724
全国,全国,2020-02-07,31264,26359.0,1753,637
全国,全国,2020-02-06,28138,24702.0,1373,564
全国,全国,2020-02-05,24434,23260.0,1018,493
全国,全国,2020-02-04,20530,23214.0,718,426
全国,全国,2020-02-03,17341,21558.0,527,361
全国,全国,2020-02-02,14490,19544.0,434,304
全国,全国,2020-02-01,11901,17988.0,275,259
全国,全国,2020-01-31,9811,15238.0,214,213
全国,全国,2020-01-30,8149,12167.0,135,171
全国,全国,2020-01-29,6095,9239.0,119,133
全国,全国,2020-01-28,4630,6973.0,73,106
全国,全国,2020-01-27,2857,5794.0,56,82
全国,全国,2020-01-26,2076,2692.0,49,56
全国,全国,2020-01-25,1408,2032.0,39,42
全国,全国,2020-01-24,897,1076.0,36,26
上海市,上海市,2020-02-27,337,0.0,276,3
上海市,外地来沪人员,2020-02-27,111,0.0,89,1
上海市,浦东新区,2020-02-27,60,0.0,50,0
上海市,宝山区,2020-02-27,21,0.0,13,0
上海市,徐汇区,2020-02-27,18,0.0,15,0
上海市,静安区,2020-02-27,16,0.0,13,0
上海市,松江区,2020-02-27,14,0.0,11,0
上海市,嘉定区,2020-02-27,9,0.0,6,0
