rmse	mae	time_pred	time_learn	time_learn2	time_learn4	rmse_train
0.965371	0.787937	0.038715	0.073146	nan	nan	0.965371
0.948181	0.76967	0.043551	0.069125	nan	nan	0.948181
0.935373	0.755772	0.040313	0.073082	nan	nan	0.935373
0.917699	0.738073	0.040669	0.071931	nan	nan	0.917699
0.895597	0.716391	0.036977	0.070484	nan	nan	0.895597
0.875753	0.696514	0.038188	0.069652	nan	nan	0.875753
0.860268	0.680715	0.040061	0.069161	nan	nan	0.860268
0.848453	0.668557	0.038156	0.071888	nan	nan	0.848453
0.839279	0.659079	0.036002	0.069002	nan	nan	0.839279
0.832014	0.651622	0.037725	0.065837	nan	nan	0.832014
0.82609	0.645688	0.036652	0.069131	nan	nan	0.82609
0.821053	0.640873	0.037198	0.067919	nan	nan	0.821053
0.816604	0.636881	0.036387	0.070144	nan	nan	0.816604
0.812595	0.633521	0.035505	0.065439	nan	nan	0.812595
0.808985	0.630696	0.037335	0.06583	nan	nan	0.808985
0.805766	0.628333	0.036175	0.069462	nan	nan	0.805766
0.802936	0.626362	0.039328	0.066024	nan	nan	0.802936
0.800474	0.624734	0.039974	0.069126	nan	nan	0.800474
0.798361	0.623393	0.037752	0.070027	nan	nan	0.798361
0.796555	0.622284	0.037929	0.068511	nan	nan	0.796555
0.795009	0.621349	0.037485	0.068635	nan	nan	0.795009
0.793673	0.620543	0.036932	0.068273	nan	nan	0.793673
0.792506	0.619826	0.036701	0.070851	nan	nan	0.792506
0.791469	0.619169	0.036369	0.068161	nan	nan	0.791469
0.790534	0.618547	0.036326	0.066679	nan	nan	0.790534
0.789679	0.617945	0.036507	0.067207	nan	nan	0.789679
0.788889	0.617357	0.036212	0.06799	nan	nan	0.788889
0.788153	0.61678	0.036481	0.0666	nan	nan	0.788153
0.787463	0.616214	0.042577	0.066522	nan	nan	0.787463
0.786814	0.615661	0.038929	0.068895	nan	nan	0.786814
0.786205	0.615123	0.036643	0.067833	nan	nan	0.786205
0.785632	0.614601	0.036466	0.066823	nan	nan	0.785632
0.785094	0.614099	0.037542	0.067349	nan	nan	0.785094
0.784589	0.613619	0.036451	0.067024	nan	nan	0.784589
0.784117	0.613163	0.03626	0.068183	nan	nan	0.784117
0.783675	0.61273	0.035375	0.066351	nan	nan	0.783675
0.783263	0.612324	0.035435	0.065682	nan	nan	0.783263
0.782879	0.611944	0.03517	0.064987	nan	nan	0.782879
0.782521	0.611594	0.035246	0.065126	nan	nan	0.782521
0.782188	0.611271	0.035325	0.064776	nan	nan	0.782188
0.781878	0.610976	0.035259	0.064902	nan	nan	0.781878
0.781589	0.610707	0.035275	0.06534	nan	nan	0.781589
0.781319	0.610464	0.035255	0.065211	nan	nan	0.781319
0.781069	0.610246	0.035209	0.065146	nan	nan	0.781069
0.780835	0.610051	0.035206	0.065673	nan	nan	0.780835
0.780618	0.609879	0.03527	0.064993	nan	nan	0.780618
0.780415	0.609729	0.037979	0.065201	nan	nan	0.780415
0.780227	0.6096	0.035392	0.065216	nan	nan	0.780227
0.780053	0.60949	0.035247	0.065012	nan	nan	0.780053
0.779892	0.609398	0.035734	0.064853	nan	nan	0.779892
0.779744	0.609324	0.035553	0.064916	nan	nan	0.779744
0.779607	0.609265	0.035223	0.06511	nan	nan	0.779607
0.779483	0.609221	0.035318	0.065476	nan	nan	0.779483
0.779369	0.60919	0.035257	0.0654	nan	nan	0.779369
0.779267	0.609172	0.035225	0.06602	nan	nan	0.779267
0.779174	0.609166	0.03545	0.065342	nan	nan	0.779174
0.779092	0.60917	0.035335	0.065006	nan	nan	0.779092
0.779018	0.609183	0.035218	0.064857	nan	nan	0.779018
0.778954	0.609204	0.035766	0.06514	nan	nan	0.778954
0.778897	0.609232	0.035682	0.065541	nan	nan	0.778897
0.778848	0.609266	0.039171	0.082655	nan	nan	0.778848
0.778806	0.609305	0.036655	0.067837	nan	nan	0.778806
0.77877	0.609348	0.039743	0.072909	nan	nan	0.77877
0.778741	0.609395	0.037331	0.069698	nan	nan	0.778741
0.778717	0.609447	0.037923	0.06806	nan	nan	0.778717
0.778699	0.609503	0.038576	0.069706	nan	nan	0.778699
0.778686	0.609561	0.037839	0.067538	nan	nan	0.778686
0.778677	0.609619	0.046017	0.067782	nan	nan	0.778677
0.778671	0.609679	0.03873	0.069503	nan	nan	0.778671
0.778667	0.609738	0.036721	0.068963	nan	nan	0.778667
0.778666	0.609796	0.037398	0.067144	nan	nan	0.778666
0.778667	0.609854	0.037822	0.071482	nan	nan	0.778667
0.778669	0.60991	0.038507	0.069814	nan	nan	0.778669
0.778671	0.609964	0.03826	0.080149	nan	nan	0.778671
0.778674	0.610015	0.03755	0.069346	nan	nan	0.778674
0.778676	0.610064	0.038103	0.068279	nan	nan	0.778676
0.778679	0.61011	0.035865	0.066996	nan	nan	0.778679
0.77868	0.610153	0.036056	0.065449	nan	nan	0.77868
0.778681	0.610192	0.035722	0.065856	nan	nan	0.778681
0.77868	0.610228	0.043068	0.065848	nan	nan	0.77868
0.778679	0.610261	0.036774	0.067415	nan	nan	0.778679
0.778676	0.61029	0.036611	0.069288	nan	nan	0.778676
0.778671	0.610317	0.035692	0.067373	nan	nan	0.778671
0.778665	0.610339	0.035373	0.06706	nan	nan	0.778665
0.778658	0.610359	0.035578	0.065256	nan	nan	0.778658
0.77865	0.610376	0.035995	0.065352	nan	nan	0.77865
